time_s,state,jp_1,jp_2,jp_3,jp_4,jp_5,jp_6,jp_7,jv_1,jv_2,jv_3,jv_4,jv_5,jv_6,jv_7,tgt_1,tgt_2,tgt_3,tgt_4,tgt_5,tgt_6,tgt_7,ball_x,ball_y,ball_z,ball_vx,ball_vy,ball_vz,racket_x,racket_y,racket_z,phase,phase_speed,motion_id
0.0968,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1068,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1167,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1267,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1368,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1468,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0220,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1567,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1667,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1766,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1866,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.1967,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2066,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0059,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2166,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0059,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2276,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2366,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2469,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2566,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2666,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2778,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
0.2874,0,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3248,0.0648,1.1048,0.0000,1.0000,0
